"DitchReservoirCompanyName","OWF_ID","OWF_ID_Flag","BusinessEntity_ID","BusinessEntity_ID_Flag","DARCAMember","EntityStartDate","EntityStartDate_Flag","EntityEndDate","EntityEndDate_Flag","Ditch_WDID_CSV","Ditch_WDID_CSV_Flag","Reservoir_WDID_CSV","Reservoir_WDID_CSV_Flag","Latitude","Longitude","Lat_Long_Flag","Municipality","Municipality_Flag","IBCC_Basin","IBCC_Basin_Flag","Website","Website_Flag","Comment"
"Animas River Water Users, Inc.",AnimasRiverWU,G,19871122336,G,N,1952-08-15,G,,N,,x,,x,,,x,,x,,x,,x,
Animas Valley Ditch And Water Company,AnimasVlyDWC,G,19871002646,G,N,1880-04-26,G,,N,,x,,x,37.374849,-107.843400,G2,Durango,G,Southwest,G1,,x,
Animas View Ditch Company,AnimasViewDC,G,19931031406,G,N,1993-03-24,G,,N,,x,,x,37.173431,-107.874731,G2,Durango,G,Southwest,G1,,x,
Animas-Bear Creek Ditch Company,AnimasBearCrkDC,G,19951104491,G,N,1995-08-21,G,1998-06-01,G,,x,,x,,,x,,x,,x,,x,
"Antonio Lopez Ditch Company, Inc.",AntonioLopezDC,G,19871233718,G,N,1971-09-03,G,,N,,x,,x,37.164519,-104.521512,G2,Trinidad,G,Arkansas,G1,,x,
Antonito Ditch Company,AntonitoDC,G,19871113687,G,N,1947-12-12,G,,N,,x,,x,,,x,,x,,x,,x,
Apple Blossom Heights/Leslee Minor Subdivision Irrigation Company,AppleBlossomHeightsIC,G,19981092492,G,N,1998-05-19,G,2001-03-03,G,,x,,x,,,x,,x,,x,,x,
Applecrest Irrigation Company,ApplecrestIC,G,19951023469,G,N,1995-02-24,G,,N,,x,,x,39.104301,-108.536963,G2,Grand Junction,G,Colorado,G1,,x,
Appleton Lateral Ditch Company,AppletonLDC,G,19871067211,G,N,1918-04-15,G,,N,,x,,x,,,x,,x,,x,,x,
"Appleton ML350 Ditch Company, Inc.",AppletonML350DC,G,19941020337,G,N,1994-02-22,G,,N,,x,,x,39.122090,-108.617897,G2,Grand Junction,G,Colorado,G1,,x,
Arch Ditch Association,ArchDA,G,20131241429,G,N,2013-04-21,G,,N,,x,,x,38.428960,-106.571176,G2,Gunnison,G,Gunnison,G1,,x,
Arkansas Ditch & Drainage Corporation,ArkansasDitchDrainageCorp,G,20111465245,G,N,2011-08-16,G,,N,,x,,x,39.157246,-108.155950,G2,Mesa,G,Colorado,G1,,x,
Arkansas Groundwater Users Association,ArkansasGroundwaterUA,G,,x,Y,,x,,N,,x,,x,,,x,Pueblo,G,,x,,x,
Arkansas River Mutual Irrigation Company,ArkansasRiverMutualIC,G,19871174727,G,N,1921-11-30,G,,N,,x,,x,,,x,,x,,x,,x,
Arlian Ranch Ditch Company,ArlianRanchDC,G,19881059304,G,N,1988-06-06,G,,N,,x,,x,39.398476,-107.111569,G2,Carbondale,G,Colorado,G1,,x,
Arroyo Springs Ditch Company,ArroyoSpgsDC,G,19871069230,G,N,1919-04-19,G,,N,,x,,x,,,x,,x,,x,,x,
Arthur Irrigation Company,ArthurIC,G,19871007486,G,N,1886-07-29,G,,N,,x,,x,38.674700,-108.039000,G2,Delta,G,Gunnison,G1,,x,
Aspen Meadows Ditch Company,AspenMeadowsDC,G,19961060280,G,N,1996-05-02,G,,N,,x,,x,39.199951,-106.828065,G2,Aspen,G,Colorado,G1,,x,
Aspen Preserve Ditch & Reservoir Company,AspenPreserveDRC,G,20041226335,G,N,2004-06-30,G,,N,,x,,x,39.177096,-106.799065,G2,Aspen,G,Colorado,G1,,x,
Autrey-McCammon Ditch Company,AutreyMcCammonDC,G,19871090644,G,N,1929-10-04,G,,N,,x,,x,,,x,,x,,x,,x,
B. H. Eaton Ditch Company,BHEatonDC,G,19871052181,G,N,1910-06-09,G,,N,,x,,x,40.456130,-104.898604,G2,Windsor,G,South Platte,G1,,x,
Baca Irrigating Ditch Company,BacaIrrigatingDC,G,19871962398,G,N,1916-03-17,G,,N,,x,,x,,,x,,x,,x,,x,
"Bagwell Ditch Company, Inc.",BagwellDC,G,19961143964,G,N,1996-11-04,G,,N,,x,,x,,,x,,x,,x,,x,
Bailey Extension Reservoir Company,BaileyExtensionRC,G,19871060739,G,N,1915-03-04,G,,N,,x,,x,,,x,,x,,x,,x,
Bailey Lateral Ditch Company,BaileyLDC,G,19871967503,G,N,1918-05-27,G,,N,,x,,x,,,x,,x,,x,,x,
Baker Lateral Ditch Company,BakerLDC,G,19871068570,G,N,1919-01-10,G,,N,,x,,x,,,x,,x,,x,,x,
Baker-Ott Lateral Company,BakerOttLC,G,19871040142,G,N,1905-03-06,G,,N,,x,,x,,,x,,x,,x,,x,
Bane And Thomas Ditch Company,BaneThomasDC,G,20111251191,G,N,2011-04-27,G,,N,,x,,x,39.181949,-106.855332,G2,Aspen,G,Colorado,G1,,x,
Banks/Tyner Ditch Co.,,x,20061448328,G,N,2006-11-01,G,,N,,x,,x,37.205580,-107.752648,G2,Durango,G,Southwest,G1,,x,
Banks-Tyner Ditch Company,,x,20131694455,G,N,2013-12-02,G,,N,,x,,x,37.205580,-107.752648,G2,Durango,G,Southwest,G1,,x,
Bar Nothing Ranch Mutual Ditch And Reservoir Company,BarNothingRanchMutualDRC,G,19891088103,G,N,1989-08-22,G,,N,,x,,x,38.038663,-104.447772,G2,Avondale,G,Arkansas,G1,,x,
Barnett Irrigation Pipeline Company,BarnettIrrigationPC,G,19971166913,G,N,1997-10-17,G,2005-03-31,G,,x,,x,39.048839,-108.496935,G2,Grand Junction,G,Colorado,G1,,x,
Barrows Lateral Ditch Company,BarrowsLDC,G,19871095448,G,N,1932-07-21,G,,N,,x,,x,,,x,,x,,x,,x,
Base Line Land And Reservoir Company,BaseLineLandRC,G,19871038948,G,N,1904-07-08,G,,N,,x,,x,39.987457,-105.089983,G2,Lafayette,G,South Platte,,,x,
Basin Ditch Company,BasinDC,G,20071346275,G,N,2007-07-27,G,,N,,x,,x,39.432216,-107.181561,G2,Carbondale,G,Colorado,G1,,x,
Battlement Mesa Ditch And Reservoir Company,BattlementMesaDRC,G,19871038367,G,N,1904-03-18,G,,N,,x,,x,,,x,,x,,x,,x,
Baugh Lateral Ditch And Reservoir Company,BaughLDRC,G,19871059377,G,N,1914-03-16,G,,N,,x,,x,40.204439,-104.974084,G2,Longmont,G,South Platte,G1,,x,
Baxter Ditch Association,BaxterDA,G,20151519192,G,Y,2015-08-12,G,,N,,x,,x,40.487541,-106.835356,G2,Steamboat Springs,G,Yampa,G1,,x,
Bayou Ditch Association,BayouDA,G,19871308054,G,Y,1976-07-22,G,,N,,x,,x,39.780329,-105.126464,G2,Wheat Ridge,G,Metro,G1,,x,
Bear Creek Ditch Company,BearCrkDC,G,19891076644,G,N,1989-07-03,G,,N,,x,,x,37.212117,-106.798888,G2,Pagosa Springs,G,Southwest,G1,,x,
Bear Creek Ridge Ditch Company,BearCrkRidgeDC,G,20001026993,G,N,2000-02-08,G,2006-06-14,G,,x,,x,37.676304,-106.640614,G2,South Fork,G,Rio Grande,G1,,x,
Beaver Creek Ditch Company,BeaverCrkDC,G,19871009248,G,N,1889-02-06,G,,N,,x,,x,40.169842,-103.584670,G2,Rush,G,South Platte,G1,,x,
Beaver Ditch Company,,x,19871004702,G,N,1882-03-08,G,,N,,x,,x,,,x,,x,,x,,x,
Beaver Ditch Company,,x,19871075440,G,N,1922-04-03,G,,N,,x,,x,,,x,,x,,x,,x,
Beaver Farmers Canal And Ditch Company,BeaverFarmersCDC,G,19871009941,G,N,1889-10-11,G,,N,,x,,x,,,x,,x,,x,,x,
"Beaver Park Water, Inc.",BeaverParkWater,G,,x,Y,,x,,N,,x,,x,,,x,Penrose,G,,x,,x,
Beckwith Ditch And Reservoir Company,BeckwithDRC,G,19871055750,G,N,1912-02-16,G,,N,,x,,x,40.146397,-105.114470,G2,Longmont,G,South Platte,G1,,x,
Bee Line Ditch Company,BeeLineDC,G,19871008017,G,N,1887-06-02,G,,N,,x,,x,40.329427,-104.855250,G2,Milliken,G,South Platte,G1,,x,
Beeman Irrigating Ditch And Milling Company,BeemanIDC,G,19871070943,G,N,1878-05-10,G,,N,,x,,x,39.751282,-104.994437,G2,Denver,G,Metro,G1,,x,
Bell Court Lateral Ditch Company,BellCourtLDC,G,19871114295,G,N,1948-03-24,G,,N,,x,,x,,,x,,x,,x,,x,
Bennett And Kerr Extension Ditch Company,BennettKerrExtensionDC,G,19871067580,G,N,1918-06-10,G,,N,,x,,x,,,x,,x,,x,,x,
Bent County Reservoir Company,BentCountyRC,G,19871043594,G,N,1906-11-09,G,,N,,x,,x,,,x,,x,,x,,x,
Bergen Ditch & Reservoir Company,BergenDRC,G,19871006928,G,N,1885-06-09,G,,N,,x,,x,39.547317,-104.939304,G2,Highlands Ranch,G,Metro,G1,,x,
Berkeley Mutual Ditch Company,BerkeleyMutualDC,G,19871079125,G,N,1924-03-06,G,,N,,x,,x,,,x,,x,,x,,x,
Berthoud-Gateway Park Irrigation Company,BerthoudGatewayParkIC,G,20041208285,G,N,2004-06-09,G,,N,,x,,x,40.407920,-104.796063,G2,Greeley,G,South Platte,G1,,x,
Bess Girl Ditch Company,BessGirlDC,G,19871429905,G,Y,1981-03-25,G,,N,,x,,x,37.449868,-107.194989,G2,Pagosa Springs,G,Southwest,G1,,x,
Bessemer Ditch Lateral 20 Users' Association,BessemerDitchLateral20UA,G,19961044227,G,N,1996-04-01,G,,N,,x,,x,38.264964,-104.611360,G2,Pueblo,G,Arkansas,G1,,x,
Bessemer Irrigating Ditch Company,BessemerIDC,G,19871017330,G,Y,1894-07-25,G,,N,,x,,x,,,x,,x,,x,,x,
Beverly Heights Mutual Ditch And Reservoir Company,BeverlyHeightsMutualDRC,G,19871089960,G,N,1929-05-27,G,,N,,x,,x,,,x,,x,,x,,x,
Big Beaver Reservoir Company,BigBeaverRC,G,19871040416,G,N,1905-04-20,G,,N,,x,,x,,,x,,x,,x,,x,
Big Blue Ditch Company,BigBlueDC,G,19871098930,G,N,1935-02-16,G,,N,,x,,x,,,x,,x,,x,,x,
Big Bottom Ditch Company,BigBottomDC,G,19871000035,G,N,1964-02-13,G,,N,,x,,x,,,x,,x,,x,,x,
Big Cut Lateral And Reservoir Company,BigCutLRC,G,19871011342,G,N,1890-11-28,G,,N,,x,,x,40.428449,-104.924632,G2,Windsor,G,South Platte,,,x,
Big Ditch Company,,x,20121021822,G,N,2012-01-11,G,,N,,x,,x,38.741800,-108.072000,G2,Delta,G,Gunnison,G1,,x,
Big Ditch Company,,x,19871122020,G,N,1952-06-23,G,,N,,x,,x,,,x,,x,,x,,x,
Big Dry Creek Ditch & Reservoir Company,BigDryCrkDRC,G,19871010290,G,N,1890-02-04,G,,N,,x,,x,,,x,,x,,x,,x,
Big Gulch Ditch Company,BigGulchDC,G,19871114126,G,N,1948-02-25,G,,N,,x,,x,,,x,,x,,x,,x,
Big Lateral Ditch Co.,BigLDC,G,19871006712,G,N,1885-02-02,G,,N,,x,,x,40.426653,-105.058410,G2,Loveland,G,South Platte,G1,,x,
Big Stick Ditch Company,BigStickDC,G,19871049594,G,N,1909-05-26,G,,N,,x,,x,,,x,,x,,x,,x,
Big Thompson And Platte River Ditch Company,BigThompsonPlatteRiverDC,G,19871000162,G,Y,1865-11-30,G,,N,,x,,x,40.334887,-104.853179,G2,Milliken,G,South Platte,G1,,x,
Big Thompson Ditch And Manufacturing Company,BigThompsonDMC,G,19871007283,G,N,1886-03-16,G,,N,,x,,x,40.421434,-105.074088,G2,Loveland,G,South Platte,G1,,x,
Bijou Irrigation Company,BijouIC,G,19871029704,G,N,1900-01-26,G,,N,,x,,x,40.248948,-103.798625,G2,Fort Morgan,G,South Platte,G1,,x,
Bijou Lateral #5 Ditch Company,BijouLateralNo5DC,G,19871048776,G,N,1909-02-13,G,,N,,x,,x,40.248948,-103.798625,G2,Fort Morgan,G,South Platte,G1,,x,
Bijou Lateral Ditch Company,BijouLDC,G,19871934043,G,N,1902-02-03,G,,N,,x,,x,40.248948,-103.798625,G2,Fort Morgan,G,South Platte,G1,,x,
Biles Lateral Ditch Company,BilesLDC,G,19871010120,G,N,1900-03-17,G,,N,,x,,x,,,x,,x,,x,,x,
Billings Ditch Company,BillingsDC,G,19871006674,G,N,1884-12-31,G,,N,,x,,x,37.603519,-106.024838,G2,Alamosa,G,Rio Grande,G1,,x,
Bliss Lateral & Irrigation Company,BlissLIC,G,19871948895,G,N,1909-03-04,G,,N,,x,,x,40.615116,-104.749142,G2,Pierce,G,South Platte,G1,,x,
Blue Lake Reservoir Company,BlueLakeRC,G,20081630155,G,N,2008-12-04,G,,N,,x,,x,40.019611,-105.278885,G2,Boulder,G,South Platte,,,x,
Blue Stone Ditch Association,BlueStoneDA,G,19871101023,G,N,1936-09-18,G,,N,,x,,x,39.334423,-108.215082,G2,De Beque,G,Colorado,G1,,x,
Bluff Ditch Association,BluffDA,G,19871109340,G,N,1945-04-27,G,,N,,x,,x,,,x,,x,,x,,x,
Bob Creek Reservoir Lateral Association,BobCrkResLA,G,19871059531,G,N,1914-04-20,G,,N,,x,,x,,,x,,x,,x,,x,
Bohlender Lateral Company,BohlenderLC,G,19871068341,G,N,1918-12-04,G,,N,,x,,x,,,x,,x,,x,,x,
Bollinger And Nelson Ditch Company,BollingerNelsonDC,G,19871118285,G,N,1950-06-01,G,,N,,x,,x,,,x,,x,,x,,x,
Bona Fide Ditch Company,BonaFideDC,G,19871052580,G,Y,1910-08-25,G,,N,,x,,x,38.766616,-108.038411,G2,Delta,G,Gunnison,G1,,x,
Bond Lateral Ditch Company,BondLDC,G,19871002717,G,N,1880-05-17,G,,N,,x,,x,,,x,,x,,x,,x,
Bonus Ditch Company,BonusDC,G,19871048053,G,N,1908-10-16,G,,N,,x,,x,40.173812,-105.169588,G2,Longmont,G,South Platte,G1,,x,
Bord Ditch Company,BordDC,G,19871471142,G,N,1982-04-09,G,,N,,x,,x,37.372138,-108.593041,G2,Cortez,G,Southwest,G1,,x,
Borrego Ditch Company,,x,19871100621,G,N,1936-05-26,G,,N,,x,,x,,,x,,x,,x,,x,
Borrego Ditch Company,,x,19871191842,G,N,1967-02-27,G,,N,,x,,x,,,x,,x,,x,,x,
Boss Ditch Company Inc.,BossDC,G,19901006881,G,N,1990-02-07,G,2006-04-25,G,,x,,x,37.332915,-108.334414,G2,Mancos,G,Southwest,G1,,x,
Boston Farm Lateral Association,BostonFarmLA,G,19871059444,G,N,1914-03-31,G,,N,,x,,x,,,x,,x,,x,,x,
Boulder & Larimer County Irrigation and Manufacturing Ditch,BoulderLarimerCountyIMD,G,,x,Y,,x,,N,,x,,x,,,x,Boulder,G,,x,,x,
Boulder & Left Hand Irrigation Company,,x,19871073587,G,N,1921-03-21,G,,N,,x,,x,39.685592,-104.971324,G2,Denver,G,Metro,G1,,x,
Boulder And Left Hand Irrigation Company,,x,19871000899,G,Y,1973-12-04,G,,N,,x,,x,39.685592,-104.971324,G2,Denver,G,Metro,G1,,x,
Boulder And Weld County Ditch Company,BoulderWeldCountyDC,G,19871055908,G,Y,1912-03-02,G,,N,,x,,x,39.685592,-104.971324,G2,Denver,G,Metro,G1,,x,
Boulder And White Rock Ditch And Reservoir Company,BoulderWhiteRockDRC,G,19871058891,G,N,1913-12-09,G,,N,,x,,x,39.685592,-104.971324,G2,Denver,G,Metro,G1,,x,
"Boulder Land, Irrigation And Power Company",BoulderLandIrrigationPower,G,19871051310,G,N,1910-02-23,G,2009-07-01,G,,x,,x,40.015331,-105.279756,G2,Boulder,G,South Platte,G1,,x,
Bountiful Lateral Ditch Company,BountifulLDC,G,19871045107,G,N,1907-06-15,G,,N,,x,,x,,,x,,x,,x,,x,
"Bowen Ditch Company, Inc.",BowenDC,G,19871107877,G,Y,1943-06-14,G,,N,,x,,x,38.673248,-106.098918,G2,Salida,G,Arkansas,G1,,x,
Box Elder Ditch Company,BoxElderDC,G,19871000913,G,N,1873-12-25,G,,N,,x,,x,38.674700,-108.039000,G2,Delta,G,Gunnison,G1,,x,
Box Elder Lateral Ditch Company,BoxElderLDC,G,19871076020,G,N,1922-07-21,G,,N,,x,,x,,,x,,x,,x,,x,
Box Springs Canal And Reservoir Company,BoxSpgsCRC,G,19871002688,G,N,1901-05-22,G,,N,,x,,x,,,x,,x,,x,,x,
Boxwell Lateral Company,BoxwellLC,G,19871069418,G,N,1919-05-14,G,,N,,x,,x,,,x,,x,,x,,x,
Boyd Irrigation Company,BoydIC,G,19871599277,G,N,1984-12-20,G,,N,,x,,x,40.422378,-104.697284,G2,Greeley,G,South Platte,G1,,x,
Bravo Ditch Company,BravoDC,G,19871015703,G,N,1893-06-01,G,,N,,x,,x,40.711615,-103.099112,G2,Sterling,G,South Platte,G1,,x,
Bright And Brown Lateral Ditch Company,BrightBrownLDC,G,19871007767,G,N,1887-02-08,G,,N,,x,,x,,,x,,x,,x,,x,
Brighton Ditch Company,BrightonDC,G,19871002441,G,Y,1880-02-26,G,,N,,x,,x,40.029507,-104.837565,G2,Fort Lupton,G,South Platte,G1,,x,
Brighton Gardens Reservoir And Ditch Company,BrightonGardensRDC,G,19871038824,G,N,1904-06-09,G,,N,,x,,x,,,x,,x,,x,,x,
Brighton Lateral Ditch Company,BrightonLDC,G,19871951438,G,N,1910-03-08,G,,N,,x,,x,39.978889,-104.817115,G2,Brighton,G,Metro,G1,,x,
Briscoe Irrigation Company,BriscoeIC,G,19871093196,G,N,1931-03-02,G,,N,,x,,x,40.428724,-104.538756,G2,Greeley,G,South Platte,G1,,x,
Brookside Ditch Co.,BrooksideDC,G,19871241934,G,N,1972-05-05,G,,N,,x,,x,39.770034,-105.126393,G2,Wheat Ridge,G,Metro,G1,,x,
Broomfield High Line Ditch Company,BroomfieldHighLineDC,G,19871010367,G,N,1890-02-21,G,,N,,x,,x,,,x,,x,,x,,x,
Broomfield Reservoir And Ditch Company,BroomfieldRDC,G,19871073614,G,N,1921-03-25,G,,N,,x,,x,,,x,,x,,x,,x,
Brown And Baugh Ditch Company,BrownBaughDC,G,19871052014,G,N,1910-05-16,G,,N,,x,,x,39.780371,-105.129966,G2,Wheat Ridge,G,Metro,G1,,x,
Brown Drain Ditch Company,BrownDrainDC,G,19871064690,G,N,1917-04-21,G,,N,,x,,x,,,x,,x,,x,,x,
Brush Lateral Ditch Company,BrushLDC,G,19871010767,G,N,1890-05-31,G,,N,,x,,x,,,x,,x,,x,,x,
Brush Lateral Extension Ditch Company,BrushExtensionLDC,G,19871085756,G,N,1927-05-24,G,,N,,x,,x,,,x,,x,,x,,x,
Buckeye Lateral Ditch Company,BuckeyeLDC,G,19871066688,G,N,1918-02-08,G,,N,,x,,x,,,x,,x,,x,,x,
Buckhorn Highline Ditch Company,BuckhornHighlineDC,G,19871073711,G,N,1921-04-14,G,,N,,x,,x,,,x,,x,,x,,x,
Buckingham Irrigation Company,BuckinghamIC,G,19871133784,G,N,1956-10-05,G,,N,,x,,x,40.376033,-105.125649,G2,Loveland,G,South Platte,G1,,x,
Buffalo Mutual Irrigation Company,BuffaloMutualIC,G,19871117605,G,N,1950-01-27,G,,N,,x,,x,38.051691,-102.122950,G2,Holly,G,Arkansas,G1,,x,
Bull Basin Reservoir Company,BullBasinRC,G,19871071744,G,N,1920-04-23,G,,N,,x,,x,,,x,,x,,x,,x,
Bull Creek Reservoir Canal & Power Company,BullCrkResCanalPower,G,19871034325,G,N,1895-03-07,G,,N,,x,,x,39.175054,-108.075053,G2,Molina,G,Colorado,,,x,
Bull Creek Reservoir Company,BullCrkRC,G,,x,Y,,x,,N,,x,,x,,,x,Molina,G,,x,,x,
Bunyan Lateral Ditch Company,BunyanLDC,G,20121077674,G,N,2012-02-02,G,,N,,x,,x,39.685592,-104.971324,G2,Denver,G,Metro,G1,,x,
Burlington Ditch Reservoir And Land Company,BurlingtonDRC,G,19871007103,G,N,1885-11-12,G,,N,,x,,x,39.985791,-104.790846,G2,Brighton,G,Metro,G1,,x,
Burlington Extension Ditch Company,BurlingtonExtensionDC,G,19871016960,G,N,1894-04-24,G,2001-02-01,G,,x,,x,,,x,,x,,x,,x,
Bushman Ditch Company,BushmanDC,G,19871031711,G,N,1900-12-26,G,,N,,x,,x,,,x,,x,,x,,x,
Butte Ditch Company,ButteDC,G,19871060679,G,N,1915-02-25,G,,N,,x,,x,,,x,,x,,x,,x,
Butte Irrigating And Milling Company,ButteIC,G,19871002518,G,N,1880-03-20,G,,N,,x,,x,40.163019,-105.105514,G2,Longmont,G,South Platte,G1,,x,
Cache A La Poudre Irrigating Ditch Company,CacheLaPoudreIDC,G,19871015380,G,N,1893-03-27,G,,N,,x,,x,,,x,,x,,x,,x,
Cache La Poudre Reservoir Company,CacheLaPoudreRC,G,19871013307,G,N,1892-03-17,G,,N,,x,,x,40.482582,-104.698750,G2,Lucerne,G,South Platte,,,x,
Cactus Ditch LLC,CactusDC,G,20081089048,G,N,2008-02-12,G,,N,,x,,x,39.546035,-107.322938,G2,Glenwood Springs,G,Colorado,G1,,x,
Caddoa Reservoir Association,CaddoaRA,G,19871097274,G,N,1933-12-19,G,,N,,x,,x,,,x,,x,,x,,x,
Cadez Lateral Ditch Association,CadezLDA,G,20011166672,G,N,2001-08-24,G,2003-06-01,G,,x,,x,,,x,,x,,x,,x,
Camelot Subdivision Drainage And Irrigation Company,CamelotSubdivisionDrainageIC,G,19951032696,G,N,1995-03-13,G,2000-01-01,G,,x,,x,,,x,,x,,x,,x,
Canon City And Oil Creek Ditch Company,CanonCityOilCrkDC,G,19871001603,G,Y,1878-01-24,G,,N,,x,,x,38.443296,-105.223560,G2,Canyon City,G,Arkansas,G1,,x,
Canon City Hydraulic And Irrigating Ditch Company,,x,19871001639,G,Y,1878-02-28,G,,N,,x,,x,38.450507,-105.226962,G2,Canyon City,G,Arkansas,G1,,x,
Canon Ditch Company,,x,19871096729,G,N,1933-07-05,G,,N,,x,,x,,,x,,x,,x,,x,
Canon Heights Irrigation And Reservoir Company,,x,19871069907,G,Y,1919-08-06,G,,N,,x,,x,38.475630,-105.242745,G2,Canon City,G,Arkansas,G1,,x,
Canyon Creek Irrigation Company,,x,19871350254,G,N,1978-06-19,G,1988-01-01,G,,x,,x,39.103349,-108.679182,G2,Grand Junction,G,Colorado,G1,,x,
Canyon Creek Number Two Irrigation Company,,x,19871397168,G,N,1980-04-04,G,,N,,x,,x,39.105998,-108.678294,G2,Grand Junction,G,Colorado,G1,,x,
Capitol Hill Lateral Ditch Association,,x,19871038946,G,N,1904-07-07,G,,N,,x,,x,,,x,,x,,x,,x,
Capulin Ditch Company,,x,20081545527,G,N,2008-10-14,G,,N,,x,,x,37.259890,-105.903715,G2,Sanford,G,Rio Grande,G1,,x,
Carl Smith Reservoir Company,,x,19871112819,G,N,1947-06-09,G,,N,,x,,x,,,x,,x,,x,,x,
Carlson Ditch Co.,,x,19871275163,G,N,1974-07-05,G,2003-05-01,G,,x,,x,,,x,,x,,x,,x,
